iter	Passed	Remaining
0	1	156
1	2	123
2	3	120
3	4	118
4	6	115
5	13	209
6	15	200
7	16	188
8	17	178
9	18	167
10	20	166
11	26	197
12	28	191
13	29	181
14	30	172
15	31	163
16	34	166
17	37	170
18	48	205
19	49	197
20	50	188
21	51	181
22	52	174
23	53	169
24	55	166
25	57	162
26	58	157
27	59	151
28	59	146
29	61	142
30	61	137
31	62	132
32	63	128
33	64	124
34	64	120
35	65	116
36	66	112
37	67	109
38	67	106
39	68	103
40	69	100
41	70	97
42	71	94
43	71	91
44	72	88
45	73	86
46	74	83
47	74	80
48	75	78
49	76	76
50	76	73
51	77	71
52	78	69
53	79	67
54	80	65
55	82	64
56	83	62
57	84	61
58	85	59
59	86	57
60	87	56
61	88	54
62	89	52
63	90	50
64	90	48
65	91	47
66	92	45
67	92	43
68	93	41
69	93	40
70	94	38
71	95	36
72	95	35
73	96	33
74	96	32
75	98	31
76	99	29
77	100	28
78	100	26
79	101	25
80	102	24
81	103	22
82	103	21
83	104	19
84	105	18
85	105	17
86	106	15
87	106	14
88	106	13
89	107	11
90	107	10
91	108	9
92	108	8
93	109	6
94	109	5
95	110	4
96	110	3
97	111	2
98	111	1
99	112	0
